executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
10,0,344,2015-12-28T14:27:11.296GMT,5,29931,51023492,16,28,0,0,2812,195,1,59474
9,0,345,2015-12-28T14:27:11.348GMT,5,165625,273934646,88,220,0,0,2807,415,3,54965
1,0,346,2015-12-28T14:27:11.359GMT,6,163275,274391469,87,157,0,0,2811,778,4,86243
12,0,347,2015-12-28T14:27:11.596GMT,7,162230,272265954,86,290,0,0,2808,780,4,88196
3,0,340,2015-12-28T14:27:10.835GMT,5,164250,273708402,88,108,0,0,2811,585,3,77764
8,0,341,2015-12-28T14:27:10.977GMT,7,162601,273842804,87,108,0,0,2807,778,4,80668
3,0,342,2015-12-28T14:27:11.054GMT,5,164398,274608533,87,108,0,0,2811,780,4,63100
11,0,343,2015-12-28T14:27:11.259GMT,6,162766,273389446,87,104,0,0,2812,780,4,78685
3,0,348,2015-12-28T14:27:11.634GMT,6,166975,274565061,88,108,0,0,2811,780,4,85619
12,0,349,2015-12-28T14:27:11.672GMT,6,32329,55413084,17,96,0,0,2808,195,1,51364
4,0,298,2015-12-28T14:25:21.804GMT,6,169811,272422033,87,258,0,1,2811,780,4,78504
13,0,299,2015-12-28T14:25:22.740GMT,6,31899,53134086,17,84,0,0,2808,195,1,101099
5,0,296,2015-12-28T14:25:19.832GMT,5,162795,271777012,86,144,0,0,2807,778,4,91669
5,0,297,2015-12-28T14:25:20.125GMT,6,164013,273137611,87,144,0,0,2807,780,4,95943
3,0,294,2015-12-28T14:25:19.481GMT,6,30246,50964719,16,52,0,0,2811,195,1,94148
7,0,295,2015-12-28T14:25:19.724GMT,6,165285,274051803,88,232,0,0,2811,585,3,76282
8,0,292,2015-12-28T14:25:19.143GMT,5,160941,271767323,86,106,0,0,2807,780,4,80963
9,0,293,2015-12-28T14:25:19.188GMT,6,165177,273306296,88,195,0,0,2807,780,4,74850
10,0,290,2015-12-28T14:25:16.748GMT,5,165612,273930107,88,177,0,0,2812,585,3,62628
13,0,291,2015-12-28T14:25:17.851GMT,8,163959,274101859,87,244,0,1,2808,778,4,82111
15,0,199,2015-12-28T14:24:27.544GMT,8,33227,54929219,17,75,0,0,2812,195,1,53217
11,0,198,2015-12-28T14:24:27.535GMT,5,163719,274188064,87,201,0,0,2812,780,4,62040
