executorId,attempt,taskId,launchTime,executorDeserializeTime,executorRunTime,bytesRead,recordsRead,jvmGcTime,memoryBytesSpilled,resultSerializationTime,resultSize,bytesWritten,recordsWritten,writeTime
14,0,5988,2015-12-28T16:35:06.218GMT,3,168114,273012915,87,374,0,1,10554,780,4,76294
6,0,5989,2015-12-28T16:35:06.762GMT,3,34263,53724998,17,52,0,0,10553,195,1,60242
15,0,5982,2015-12-28T16:35:00.577GMT,3,167110,272995010,87,402,0,0,10554,780,4,81366
2,0,5983,2015-12-28T16:35:00.986GMT,3,169164,272374369,87,436,0,0,10549,780,4,87877
2,0,5980,2015-12-28T16:34:57.008GMT,2,175860,274221800,88,436,0,0,10549,585,3,78230
1,0,5981,2015-12-28T16:34:58.246GMT,3,163262,272001888,86,402,0,0,10553,778,4,87421
11,0,5986,2015-12-28T16:35:03.936GMT,2,169140,272392040,87,329,0,0,10554,778,4,96071
3,0,5987,2015-12-28T16:35:04.248GMT,2,167358,273496177,87,416,0,0,10553,780,4,857924
8,0,5984,2015-12-28T16:35:01.299GMT,1,33919,56256655,18,137,0,1,10549,195,1,63303
3,0,5985,2015-12-28T16:35:01.776GMT,4,164134,271570428,87,416,0,0,10553,585,3,65019
15,0,6796,2015-12-28T16:50:03.383GMT,2,100315,273707507,86,45,0,0,10554,778,4,97018
14,0,6797,2015-12-28T16:50:03.763GMT,3,136087,273968639,86,415,0,0,10554,780,4,72048
0,0,6794,2015-12-28T16:50:03.011GMT,2,32144,64464752,20,19,0,0,10553,195,1,44000
9,0,6795,2015-12-28T16:50:03.347GMT,3,129421,273778777,87,75,0,0,10549,585,3,52521
0,0,6792,2015-12-28T16:49:58.508GMT,2,499420,274085891,86,199,0,0,10553,780,4,94266
5,0,6793,2015-12-28T16:50:02.108GMT,3,148417,273870408,86,307,0,0,10549,780,4,91402
5,0,6790,2015-12-28T16:49:53.520GMT,3,129973,274233914,87,300,0,0,10549,585,3,81370
6,0,6791,2015-12-28T16:49:55.311GMT,3,142685,274022249,86,542,0,0,10553,778,4,83879
10,0,6798,2015-12-28T16:50:04.311GMT,3,111465,273759759,86,187,0,0,10554,780,4,91691
4,0,6799,2015-12-28T16:50:05.060GMT,3,31768,64350907,20,15,0,0,10553,195,1,56925
13,0,270,2015-12-28T14:37:49.482GMT,6,128669,272121586,85,250,0,0,10550,780,4,83836
9,0,271,2015-12-28T14:37:50.470GMT,6,154009,272867792,85,91,0,0,10549,778,4,84493
15,0,272,2015-12-28T14:37:52.426GMT,12,140934,274372139,85,162,0,1,10554,780,4,87844
3,0,273,2015-12-28T14:37:54.312GMT,5,145925,274511136,85,103,0,0,10553,780,4,67592
3,0,274,2015-12-28T14:37:55.153GMT,6,47673,84868960,26,42,0,0,10553,195,1,48776
13,0,275,2015-12-28T14:37:55.304GMT,6,196799,272084404,85,332,0,0,10550,780,4,87256
2,0,276,2015-12-28T14:37:55.533GMT,7,149213,273412857,85,170,0,0,10549,778,4,89114
6,0,277,2015-12-28T14:37:56.167GMT,6,148648,271791663,84,203,0,0,10553,780,4,95101
2,0,278,2015-12-28T14:37:56.404GMT,5,149048,272945472,85,215,0,0,10549,780,4,64304
4,0,279,2015-12-28T14:37:56.728GMT,6,56700,83342513,26,46,0,1,10553,195,1,50987
0,0,2558,2015-12-28T15:27:00.544GMT,3,101385,273473303,86,63,0,0,10553,780,4,67668
11,0,9258,2015-12-28T17:56:36.932GMT,2,113116,271770072,85,91,0,0,10554,780,4,65504
4,0,9259,2015-12-28T17:56:37.765GMT,4,32559,75451942,24,27,0,0,10553,390,2,81436
5,0,9256,2015-12-28T17:56:32.285GMT,3,101598,273613930,85,68,0,0,10549,583,3,56258
11,0,9257,2015-12-28T17:56:36.559GMT,3,110364,273076769,85,91,0,0,10554,778,4,87367
5,0,9254,2015-12-28T17:56:31.945GMT,3,129776,74305650,23,76,0,0,10549,392,2,81257
4,0,9255,2015-12-28T17:56:31.947GMT,3,123875,273980628,86,101,0,0,10553,781,4,75217
0,0,9252,2015-12-28T17:56:31.249GMT,3,129425,271698985,85,128,0,0,10553,782,4,73197
10,0,9253,2015-12-28T17:56:31.675GMT,3,120510,273712032,86,79,0,0,10554,784,4,86158
13,0,9250,2015-12-28T17:56:31.058GMT,5,106405,273325797,86,105,0,0,10550,783,4,78765
3,0,9251,2015-12-28T17:56:31.104GMT,2,103703,272315716,85,76,0,0,10553,586,3,68068
11,0,1370,2015-12-28T14:57:53.791GMT,3,160043,272101739,85,187,0,0,10554,780,4,77392
14,0,1373,2015-12-28T14:58:00.685GMT,3,164047,274476308,85,231,0,0,10554,780,4,87142
13,0,3519,2015-12-28T15:49:05.794GMT,3,38649,74518027,23,131,0,0,10550,195,1,53463
9,0,3518,2015-12-28T15:49:04.734GMT,3,279550,274055906,86,458,0,0,10549,780,4,70277
4,0,3513,2015-12-28T15:48:57.191GMT,3,145047,271726107,85,234,0,0,10553,780,4,86272
7,0,3512,2015-12-28T15:48:56.147GMT,3,115585,272517552,85,173,0,0,10553,780,4,71623
0,0,3511,2015-12-28T15:48:55.580GMT,3,135406,272779118,85,217,0,0,10553,778,4,82712
12,0,3510,2015-12-28T15:48:53.028GMT,3,272138,273355238,86,369,0,0,10550,780,4,65610
5,0,3517,2015-12-28T15:49:04.054GMT,2,139119,271778882,85,208,0,0,10549,780,4,93775
8,0,3516,2015-12-28T15:49:02.004GMT,2,133956,272574985,85,280,0,0,10549,778,4,79837
11,0,3515,2015-12-28T15:48:59.828GMT,3,136963,273506690,86,208,0,0,10554,780,4,71463
0,0,3514,2015-12-28T15:48:57.246GMT,3,41171,75221842,24,97,0,0,10553,195,1,46218
5,0,2688,2015-12-28T15:31:12.075GMT,2,587331,274519328,88,509,0,1,10549,780,4,87120
8,0,2689,2015-12-28T15:31:15.223GMT,3,178025,52231645,16,220,0,0,10549,195,1,49793
5,0,2684,2015-12-28T15:31:05.795GMT,2,142373,52520393,17,32,0,0,10549,195,1,64087
6,0,2685,2015-12-28T15:31:08.506GMT,2,98097,274513646,88,113,0,0,10553,780,4,62276
10,0,2686,2015-12-28T15:31:11.289GMT,2,616136,271638096,86,555,0,0,10554,778,4,79779
2,0,2687,2015-12-28T15:31:11.884GMT,2,82592,272201857,87,179,0,0,10549,778,4,68722
13,0,2680,2015-12-28T15:30:57.020GMT,3,571253,274495211,88,473,0,0,10550,780,4,80450
12,0,2681,2015-12-28T15:30:57.725GMT,3,77902,271676295,86,35,0,0,10550,778,4,63860
2,0,2682,2015-12-28T15:31:01.602GMT,2,94127,272308661,87,191,0,0,10549,778,4,67742
9,0,2683,2015-12-28T15:31:04.704GMT,2,83721,271806009,87,63,0,0,10549,780,4,65986
8,0,99,2015-12-28T14:34:41.786GMT,1962,43632,83719458,26,165,0,1,10549,195,1,572175
6,0,98,2015-12-28T14:34:41.785GMT,2012,136097,273328497,85,259,0,1,10553,780,4,88875
4,0,91,2015-12-28T14:34:41.781GMT,1594,142117,273827204,85,299,0,0,10553,778,4,83781
12,0,90,2015-12-28T14:34:41.781GMT,902,136511,272235279,85,224,0,0,10550,780,4,54272
11,0,93,2015-12-28T14:34:41.782GMT,1104,144283,273642121,85,246,0,0,10554,780,4,65736
7,0,92,2015-12-28T14:34:41.782GMT,1311,134233,272438652,84,330,0,1,10553,780,4,82800
10,0,95,2015-12-28T14:34:41.783GMT,1613,134753,272637113,85,234,0,1,10554,780,4,66084
14,0,94,2015-12-28T14:34:41.783GMT,1690,44332,87255173,27,159,0,2,10554,195,1,645367
9,0,97,2015-12-28T14:34:41.785GMT,1650,136681,272655918,84,227,0,1,10549,780,4,81697
5,0,96,2015-12-28T14:34:41.784GMT,1999,138485,274211490,85,225,0,0,10549,778,4,73383
8,0,1376,2015-12-28T14:58:01.966GMT,3,160541,272697938,85,199,0,0,10549,778,4,109510
8,0,1177,2015-12-28T14:54:25.990GMT,3,160055,273164368,85,276,0,0,10549,585,3,74836
6,0,1176,2015-12-28T14:54:24.301GMT,4,163206,272281485,84,188,0,0,10553,778,4,90838
12,0,1175,2015-12-28T14:54:19.268GMT,3,161567,274688203,86,126,0,1,10550,781,4,77253
11,0,1174,2015-12-28T14:54:19.096GMT,4,46804,79577491,25,37,0,0,10554,392,2,79567
12,0,1173,2015-12-28T14:54:18.961GMT,3,159282,272506188,85,126,0,0,10550,786,4,99714
3,0,1172,2015-12-28T14:54:18.922GMT,3,158569,272557663,85,216,0,0,10553,588,3,65830
1,0,1171,2015-12-28T14:54:18.417GMT,4,160443,272087947,85,265,0,0,10553,782,4,75619
7,0,1170,2015-12-28T14:54:18.385GMT,3,164920,271645093,85,255,0,0,10553,783,4,87112
13,0,1179,2015-12-28T14:54:26.827GMT,4,42390,80573758,25,40,0,0,10550,390,2,77122
9,0,1178,2015-12-28T14:54:26.655GMT,4,160924,273437435,85,180,0,0,10549,780,4,83168
13,0,6987,2015-12-28T16:53:56.000GMT,3,85901,274260317,86,31,0,0,10550,786,4,61108
3,0,7188,2015-12-28T17:00:01.644GMT,3,980199,272010691,86,313,0,0,10553,780,4,57117
0,0,7189,2015-12-28T17:00:02.289GMT,2,27974,65770309,21,7,0,0,10553,195,1,53366
1,0,3431,2015-12-28T15:47:23.608GMT,2,150891,272924192,86,178,0,0,10553,583,3,75871
5,0,7180,2015-12-28T16:59:41.304GMT,2,1036447,274329997,87,1254,0,0,10549,585,3,49632
11,0,7181,2015-12-28T16:59:44.877GMT,2,114663,273954809,86,54,0,0,10554,778,4,60767
0,0,7182,2015-12-28T16:59:47.353GMT,2,1036350,273756692,86,282,0,0,10553,780,4,77412
